Title,Resource type,Learning area,Description,Link
AI4I - Literacy in AI,Online course,Fundamentals,"Literacy in AI is a 5-hour course which introduces learners into the world of machine learning. It also explores the topic of ethics in AI.

Upon completion of this course, the learner would be exposed a range of introductory topics related to AI.

Upon successful completion of the course, you will receive the ""AI for Industry – Literacy in AI"" certificate.

This course is a pre-requisite to ""AI for Industry – Foundations in AI"" (course purchase is required to access this course).",https://learn.aisingapore.org/courses/ai-for-industry-part-1/
The Python Tutorial,Online course,Python programming,"This tutorial introduces the reader informally to the basic concepts and features of the Python language and system. It helps to have a Python interpreter handy for hands-on experience, but all examples are self-contained, so the tutorial can be read off-line as well.",https://docs.python.org/3/tutorial/index.html
Crash Course on Python by Google,Online course,Python programming,"This course is designed to teach you the foundations in order to write simple programs in Python using the most common structures. No previous exposure to programming is needed. By the end of this course, you'll understand the benefits of programming in IT roles; be able to write simple programs using Python; figure out how the building blocks of programming fit together; and combine all of this knowledge to solve a complex programming problem. 

We'll start off by diving into the basics of writing a computer program. Along the way, you’ll get hands-on experience with programming concepts through interactive exercises and real-world examples. You’ll quickly start to see how computers can perform a multitude of tasks — you just have to write code that tells them what to do.",https://www.coursera.org/learn/python-crash-course
Python for Beginners (Full Course) | Programming Tutorial,Video tutorial,Python programming,"Python Tutorial, Easy Python tutorial for beginner, learn Python Programming, learn python programming with example and syntax. Download python, install python, using python IDE, IDLE, Pycharm IDE, notepad,  getting started with python, variables, functions, object, list in python, set in python, help in python, data types, operators, math function, run, debug python code, conditional statement, array, matrix in python, python by navin reddy",https://www.youtube.com/playlist?list=PLsyeobzWxl7poL9JTVyndKe62ieoN-MZ3
Python Tutorials for Absolute Beginners by CS Dojo,Video tutorial,Python programming,-,https://www.youtube.com/playlist?list=PLBZBJbE_rGRWeh5mIBhD-hhDwSEDxogDg
Python Programming Beginner Tutorials by Corey Schafer,Video tutorial,Python programming,"In these Python Beginner Tutorials, we will be learning the fundamentals of Python programming from the ground up. We will be learning how to: install/setup Python on Mac and Windows, work with basic data types, write conditionals, write for/while loops, write functions, import modules, and explore the standard library.",https://www.youtube.com/playlist?list=PL-osiE80TeTskrapNbzXhwoFUiLCjGgY7
StatQuest Youtube channel by Josh Starmer,Video tutorial,Machine Learning,"StatQuest breaks down complicated Statistics and Machine Learning methods into small, bite-sized pieces that are easy to understand. StatQuest doesn't dumb down the material, instead, it builds you up so that you are smarter and have a better understanding of Statistics and Machine Learning.",https://www.youtube.com/channel/UCtYLUTtgS3k1Fg4y5tAhLbw
Machine Learning Crash Course by Google,Online course,Machine Learning,"Google's fast-paced, practical introduction to machine learning, featuring a series of lessons with video lectures, real-world case studies, and hands-on practice exercises. ",https://developers.google.com/machine-learning/crash-course/
"Mathematics for Machine Learning by Marc Peter Deisenroth, A. Aldo Faisal and Cheng Soon Ong",Ebook,Machine Learning,"We wrote a book on Mathematics for Machine Learning that motivates people to learn mathematical concepts. The book is not intended to cover advanced machine learning techniques because there are already plenty of books doing this. Instead, we aim to provide the necessary mathematical skills to read those other books.

The book is available at published by Cambridge University Press (published April 2020).

We split the book into two parts:

    Mathematical foundations
    Example machine learning algorithms that use the mathematical foundations

We aimed to keep this book fairly short, so we don’t cover everything.",https://mml-book.com/
The Data Science Design Manual lecture videos by Steven Skiena,Video tutorial,Machine Learning,"The Data Science Design Manual serves as an introduction to data science, focusing on the skills and principles needed to build systems for collection, analyzing, and interpreting data. As a discipline data science sits at the intersection of statistics, computer science, and machine learning, but it is building a distinct heft and character of its own.

The book covers enough material for an ""Introduction to Data Science"" course at the undergraduate or early graduate student levels. A full set of lecture slides for teaching this course are available here, along with data resources for projects and assignments, and online video lectures.

Lecture 1: Introduction to Data Science
Lecture 2: Mathematical Preliminaries
Lecture 3: Python for Data Science I
Lecture 4: Python for Data Science II
Lecture 5: Correlation
Bonus Lecture: Lookahead for HW
Lecture 6: Assembling Data Sets
Lecture 7: Data Cleaning
Lecture 8: Scores and Rankings
Lecture 9: Statistical Distributions
Bonus: HW Figures, Good and Bad
Lecture 10: Statistical Significance
Lecture 11: Principles of Visualizing Data
Lecture 12: Practice of Data Visualization
Bonus: Twitter/Election Data Projects
Lecture 13: Building Models
Lecture 14: Validating Models
Bonus: Ranking Drawings by Peer Reviews
Lecture 15: Linear Algebra Review
Lecture 16: Linear Regression
Lecture 17: Gradient Descent Search and Regularization
Lecture 18: Logistic Regression and Classification
Lecture 19: Nearest Neighbor Methods
Lecture 20: Clustering
Lecture 21: Introduction to Machine Learning
Lecture 22: Topics in Machine Learning
Lecture 23: Achieving Scale
Lecture 24: Human-centric Data Science",https://www.data-manual.com/
